Time [s],Channel 0,Channel 1
0.126583417,0,1
0.126583500,0,0
0.126583583,0,1
0.126583667,0,0
0.126583750,0,1
0.126583917,0,0
0.126584000,0,1
0.126584083,0,0
0.126584167,0,1
0.126584250,0,0
0.126584417,0,1
0.126584500,0,0
0.126584583,0,1
0.126584667,0,0
0.126584750,0,1
0.126584917,0,0
0.126585000,0,1
0.126585083,0,0
0.126585167,0,1
0.126585250,0,0
0.126585417,0,1
0.126585583,0,0
0.126585750,0,1
0.126585917,0,0
0.126586000,0,1
0.126586083,0,0
0.126586250,0,1
0.126586333,0,0
0.126586417,0,1
0.126586583,0,0
0.126586667,0,1
0.126586750,0,0
0.126586833,0,1
0.126586917,0,0
0.126587000,0,1
0.126587083,0,0
0.126587167,0,1
0.126587250,0,0
0.126587417,0,1
0.126587500,0,0
0.126587583,0,1
0.126587667,0,0
0.126587750,0,1
0.126587833,0,0
0.126587917,0,1
0.126588083,0,0
0.126588167,0,1
0.126588250,0,0
0.126588417,0,1
0.126588500,0,0
0.126588583,0,1
0.126588750,0,0
0.126588917,0,1
0.126589083,0,0
0.126589167,0,1
0.126589250,0,0
0.126589417,0,1
0.126589583,0,0
0.126589667,0,1
0.126589750,0,0
0.126589833,0,1
0.126589917,0,0
0.126590083,0,1
0.126590167,0,0
0.126590250,0,1
0.126590417,0,0
0.126590583,0,1
0.126590750,0,0
0.126590917,0,1
0.126591083,0,0
0.126591167,0,1
0.126591250,0,0
0.126591417,0,1
0.126591500,0,0
0.126591583,0,1
0.126591667,0,0
0.126591750,0,1
0.126591917,0,0
0.126592000,0,1
0.126592083,0,0
0.126592250,0,1
0.126592417,0,0
0.126592500,0,1
0.126592583,0,0
0.126592750,0,1
0.126592917,0,0
0.126593000,0,1
0.126593083,0,0
0.126593167,0,1
0.126593250,0,0
0.126593333,0,1
0.126593417,0,0
0.126593583,0,1
0.126593667,0,0
0.126593750,0,1
0.126593917,0,0
0.126594083,0,1
0.126594250,0,0
0.126594417,0,1
0.126594583,0,0
0.126594667,0,1
0.126594750,0,0
0.126594833,0,1
0.126594917,0,0
0.126595083,0,1
0.126595250,0,0
0.126595417,0,1
0.126595583,0,0
0.126595667,0,1
0.126595750,0,0
0.126595833,0,1
0.126595917,0,0
0.126596000,0,1
0.126596083,0,0
0.126596250,0,1
0.126596333,0,0
0.126596417,0,1
0.126596583,0,0
0.126596750,0,1
0.126596833,0,0
0.126596917,0,1
0.126597000,0,0
0.126597083,0,1
0.126597167,0,0
0.126597250,0,1
0.126597333,0,0
0.126597417,0,1
0.126597500,0,0
0.126597583,0,1
0.126597750,0,0
0.126597833,0,1
0.126597917,0,0
0.126598000,0,1
0.126598083,0,0
0.126598167,0,1
0.126598250,0,0
0.126598417,0,1
0.126598500,0,0
0.126598583,0,1
0.126598750,0,0
0.126598833,0,1
0.126598917,0,0
0.126599000,0,1
0.126599083,0,0
0.126599167,0,1
0.126599250,0,0
0.126599417,0,1
0.126599500,0,0
0.126599583,0,1
0.126599750,0,0
0.126599917,0,1
0.126600083,0,0
0.126600250,0,1
0.126600333,0,0
0.126600417,0,1
0.126600500,0,0
0.126600583,0,1
0.126600750,0,0
0.126600833,0,1
0.126600917,0,0
